you,0.068,0.364,0.252,-0.212,0.02
article,-0.039,-0.139,-0.071,-0.154,0.396
auxverb,0.033,0.042,-0.284,0.017,0.045
future,0.227,-0.1,-0.286,0.118,0.142
negate,-0.02,0.048,-0.374,0.081,0.04
quant,-0.002,-0.057,-0.089,-0.051,0.238
social,0.262,0.156,0.168,-0.141,0.084
family,0.338,0.02,-0.126,0.096,0.215
humans,0.204,-0.011,0.055,-0.113,0.251
negemo,0.054,-0.111,-0.268,0.12,0.01
sad,0.154,-0.203,-0.253,0.23,-0.111
cogmech,-0.008,-0.089,-0.244,0.025,0.14
cause,0.224,-0.258,-0.155,-0.004,0.264
discrep,0.227,-0.055,-0.292,0.187,0.103
certain,0.112,-0.117,-0.069,-0.074,0.347
hear,0.042,-0.041,-0.014,0.335,-0.084
feel,-0.097,-0.127,-0.236,0.244,0.005
bio,-0.066,0.206,0.005,0.057,-0.239
body,0.031,0.083,-0.079,0.122,-0.299
health,-0.227,0.164,0.059,-0.012,-0.004
ingest,-0.105,0.247,0.013,-0.058,-0.202
work,0.231,-0.096,0.33,-0.125,0.426
achieve,-0.005,-0.249,-0.198,-0.07,0.008
money,-0.063,-0.259,0.099,-0.074,0.222
relig,-0.152,-0.151,-0.025,0.383,-0.073
death,-0.001,0.064,-0.332,-0.054,0.12
filler,0.099,-0.186,-0.272,0.08,0.12
excl,-0.021,-0.025,0.26,0.317,-0.295
hashtags,0.066,-0.044,-0.03,-0.217,-0.268
words,0.285,-0.065,-0.144,0.031,0.2
links,-0.061,-0.081,0.256,-0.054,0.064
